codigo,nome,unidade,frequencia,primeiro_valor,ultimo_valor,origem
40,Taxa média pós-fixada de depósitos a prazo (CDB/RDB) - Pessoas físicas,% a.d.,D,1992-02-28,2023-06-30 00:00:00,Sisbacen PESP300
42,Fundo de aplicações financeiras - Patrimônio líquido,u.m.c. (mil),D,1991-03-01,1995-12-29 00:00:00,Sisbacen PFAF300
39,Saldo pós-fixado de depósitos a prazo (CDB/RDB) - Pessoas jurídicas,u.m.c. (mil),D,1992-02-28,2023-06-30 00:00:00,Sisbacen PESP300
53,Fundo de ações-carteira livre - Rentabilidade diária (%),% a.d.,D,1993-10-06,2000-09-29 00:00:00,Sisbacen PESP300
52,Fundo de ações-carteira livre - Captação líquida,u.m.c. (mil),D,1993-10-06,2000-09-29 00:00:00,Sisbacen PESP300
1,Taxa de câmbio - Livre - Dólar americano (venda) - diário,u.m.c./US$,D,1984-11-28,2023-07-25 00:00:00,Sisbacen PTAX800
55,Fundo de ações-tradicional - Captação líquida,u.m.c. (mil),D,1991-01-31,2000-09-29 00:00:00,Sisbacen PESP300
56,Fundo de ações-tradicional - Rentabilidade diária (%),% a.d.,D,1991-01-31,2000-09-29 00:00:00,Sisbacen PESP300
54,Fundo de ações-tradicional - Patrimônio líquido,u.m.c. (mil),D,1991-01-31,2000-09-29 00:00:00,Sisbacen PESP300
58,Depósitos especiais remunerados - Resgates,u.m.c. (mil),D,1991-08-15,1995-12-29 00:00:00,Sisbacen PDER300
61,Fundo de renda fixa-capital estrangeiro - Rentabilidade diária (%),% a.d.,D,1994-03-01,2001-04-16 00:00:00,Sisbacen PESP300
63,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Hot money - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
64,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Hot money,u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
67,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de duplicatas - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
68,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de duplicatas,u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
70,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de notas promissórias,u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
57,Depósitos especiais remunerados - Saldos,u.m.c. (mil),D,1991-08-15,1995-12-29 00:00:00,Sisbacen PDER300
59,Depósitos especiais remunerados - Rentabilidade diária (%),% a.d.,D,1991-08-15,1995-12-29 00:00:00,Sisbacen PDER300
73,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Capital de giro - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
74,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Capital de giro,u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
60,Fundo de renda fixa-capital estrangeiro - Patrimônio líquido,u.m.c. (mil),D,1994-03-01,2001-04-16 00:00:00,Sisbacen PESP300
76,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Capital de giro,u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
